"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 06 18:20:58 GMT 2023","Mon Mar 06 18:20:58 GMT 2023","63","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","RealizarUmaRemocaoSimulacaoCreditoJaCadastrado","RealizarUmaRemocaoSimulacaoCreditoJaCadastrado()","Test Description : Realizar uma remoção com sucesso"
"passed","Mon Mar 06 18:20:55 GMT 2023","Mon Mar 06 18:20:55 GMT 2023","237","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComSucesso","criarSimulacaoDeCreditoComSucesso()","Test Description : Criar simulações de crédito com sucesso"
"passed","Mon Mar 06 18:20:57 GMT 2023","Mon Mar 06 18:20:57 GMT 2023","241","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarTodasSimulacoesDeCreditoCadastradas","buscarTodasSimulacoesDeCreditoCadastradas()","Test Description : buscar todas simulações cadastradas"
"passed","Mon Mar 06 18:20:56 GMT 2023","Mon Mar 06 18:20:56 GMT 2023","93","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioNomeNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioNomeNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar o NOME"
"passed","Mon Mar 06 18:20:58 GMT 2023","Mon Mar 06 18:20:58 GMT 2023","41","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado()","Test Description : Tentativa de atualiza cliente não cadastrado"
"passed","Mon Mar 06 18:20:56 GMT 2023","Mon Mar 06 18:20:56 GMT 2023","81","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioEmailNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioEmailNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar o EMAIL"
"failed","Mon Mar 06 18:20:58 GMT 2023","Mon Mar 06 18:20:58 GMT 2023","24","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado()","Test Description : Realizar uma remoção de simulação não cadastrada"
"passed","Mon Mar 06 18:20:57 GMT 2023","Mon Mar 06 18:20:57 GMT 2023","450","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoComListaVaziaDeveRetornarStatusCode204","buscarSimulacoesDeCreditoComListaVaziaDeveRetornarStatusCode204()","Test Description :Nenhuma simulação cadastrada"
"failed","Mon Mar 06 18:20:56 GMT 2023","Mon Mar 06 18:20:56 GMT 2023","50","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComParcelaMaiorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComParcelaMaiorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com a parcela maior que o permitido"
"failed","Mon Mar 06 18:20:53 GMT 2023","Mon Mar 06 18:20:54 GMT 2023","1093","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","validarConsultaNaAPIRestricoesComClienteQuePOSSUIRestricao","Realizar uma consultar na API com CPF que POSSUI restrição.","Test Description :Realizar uma consultar na API com CPF que POSSUI restrição."
"failed","Mon Mar 06 18:20:56 GMT 2023","Mon Mar 06 18:20:56 GMT 2023","70","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioSeguroNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioSeguroNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar a opcão de SEGURO"
