"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 09:17:43 GMT 2023","Wed Mar 08 09:17:43 GMT 2023","106","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoSeguro","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoSeguro()","Test Description : Atualizar o campo SEGURO"
"failed","Wed Mar 08 09:17:38 GMT 2023","Wed Mar 08 09:17:39 GMT 2023","1211","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","validarConsultaNaAPIRestricoesComClienteQuePOSSUIRestricao","Realizar uma consultar na API com CPF que POSSUI restrição.","Test Description :Realizar uma consultar na API com CPF que POSSUI restrição."
"failed","Wed Mar 08 09:17:41 GMT 2023","Wed Mar 08 09:17:41 GMT 2023","50","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com valor menor que o permitido"
"failed","Wed Mar 08 09:17:41 GMT 2023","Wed Mar 08 09:17:41 GMT 2023","189","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComCPFJaCadastradoNaoDeveCadastrar","criarSimulacaoDeCreditoComCPFJaCadastradoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com CPF já cadastrado"
"passed","Wed Mar 08 09:17:43 GMT 2023","Wed Mar 08 09:17:43 GMT 2023","33","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado()","Test Description : Tentativa de atualiza cliente não cadastrado"
"passed","Wed Mar 08 09:17:43 GMT 2023","Wed Mar 08 09:17:43 GMT 2023","82","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoNome","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoNome()","Test Description : Atualizar o campo NOME"
"passed","Wed Mar 08 09:17:43 GMT 2023","Wed Mar 08 09:17:43 GMT 2023","159","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoEmail","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoEmail()","Test Description : Atualizar o campo EMAIL"
"failed","Wed Mar 08 09:17:43 GMT 2023","Wed Mar 08 09:17:43 GMT 2023","22","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado()","Test Description : Realizar uma remoção de simulação não cadastrada"
"failed","Wed Mar 08 09:17:39 GMT 2023","Wed Mar 08 09:17:40 GMT 2023","1080","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoUtilizandoUmEmailInvalidoNaoDeveCadastrar","criarSimulacaoDeCreditoUtilizandoUmEmailInvalidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com email invalido"
"passed","Wed Mar 08 09:17:41 GMT 2023","Wed Mar 08 09:17:41 GMT 2023","68","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComParcelaAbaixoDoPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComParcelaAbaixoDoPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com a parcela menor que o permitido"
