"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 23:13:02 GMT 2023","Mon Mar 13 23:13:02 GMT 2023","93","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioNomeNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioNomeNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar o NOME"
"passed","Mon Mar 13 23:13:02 GMT 2023","Mon Mar 13 23:13:02 GMT 2023","67","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoPorCPFNaoExistente","buscarSimulacoesDeCreditoPorCPFNaoExistente()","Test Description : Buscar simulações de crédito para CPF não cadastrado"
"passed","Mon Mar 13 23:13:01 GMT 2023","Mon Mar 13 23:13:01 GMT 2023","67","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComParcelaAbaixoDoPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComParcelaAbaixoDoPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com a parcela menor que o permitido"
"failed","Mon Mar 13 23:13:01 GMT 2023","Mon Mar 13 23:13:01 GMT 2023","47","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioSeguroNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioSeguroNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar a opcão de SEGURO"
"passed","Mon Mar 13 23:13:02 GMT 2023","Mon Mar 13 23:13:03 GMT 2023","167","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoPorCPF","buscarSimulacoesDeCreditoPorCPF()","Test Description : Buscar simulações atraves do CPF"
"passed","Mon Mar 13 23:13:02 GMT 2023","Mon Mar 13 23:13:02 GMT 2023","61","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioParcelasNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioParcelasNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar a PARCELA"
"passed","Mon Mar 13 23:13:03 GMT 2023","Mon Mar 13 23:13:03 GMT 2023","378","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoComListaVaziaDeveRetornarStatusCode204","buscarSimulacoesDeCreditoComListaVaziaDeveRetornarStatusCode204()","Test Description :Nenhuma simulação cadastrada"
"failed","Mon Mar 13 23:13:01 GMT 2023","Mon Mar 13 23:13:01 GMT 2023","48","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com valor menor que o permitido"
"passed","Mon Mar 13 23:13:00 GMT 2023","Mon Mar 13 23:13:01 GMT 2023","820","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoUtilizandoUmEmailInvalidoNaoDeveCadastrar","criarSimulacaoDeCreditoUtilizandoUmEmailInvalidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com email invalido"
"passed","Mon Mar 13 23:13:02 GMT 2023","Mon Mar 13 23:13:02 GMT 2023","212","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarTodasSimulacoesDeCreditoCadastradas","buscarTodasSimulacoesDeCreditoCadastradas()","Test Description : buscar todas simulações cadastradas"
