"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","28","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado()","Test Description : Tentativa de atualiza cliente não cadastrado"
"failed","Fri Mar 10 09:17:46 GMT 2023","Fri Mar 10 09:17:47 GMT 2023","723","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoUtilizandoUmEmailInvalidoNaoDeveCadastrar","criarSimulacaoDeCreditoUtilizandoUmEmailInvalidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com email invalido"
"passed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","93","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoPorCPF","buscarSimulacoesDeCreditoPorCPF()","Test Description : Buscar simulações atraves do CPF"
"passed","Fri Mar 10 09:17:47 GMT 2023","Fri Mar 10 09:17:47 GMT 2023","89","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComParcelaAbaixoDoPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComParcelaAbaixoDoPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com a parcela menor que o permitido"
"failed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","44","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado()","Test Description : Realizar uma remoção de simulação não cadastrada"
"passed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","118","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoParcela","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoParcela()","Test Description : Atualizar o campo PARCELA"
"failed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","135","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","RealizarUmaRemocaoSimulacaoCreditoJaCadastrado","RealizarUmaRemocaoSimulacaoCreditoJaCadastrado()","Test Description : Realizar uma remoção com sucesso"
"passed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","103","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoEmail","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoEmail()","Test Description : Atualizar o campo EMAIL"
"passed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","60","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComValorMaiorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComValorMaiorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com valor maior que o permitido"
"passed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","58","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioEmailNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioEmailNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar o EMAIL"
"passed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","82","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoCPF","Test Description : Atualizar o campo CPF","Test Description : Atualizar o campo CPF"
"passed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","174","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarTodasSimulacoesDeCreditoCadastradas","buscarTodasSimulacoesDeCreditoCadastradas()","Test Description : buscar todas simulações cadastradas"
"passed","Fri Mar 10 09:17:47 GMT 2023","Fri Mar 10 09:17:47 GMT 2023","113","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComSucesso","criarSimulacaoDeCreditoComSucesso()","Test Description : Criar simulações de crédito com sucesso"
"passed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","49","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoPorCPFNaoExistente","buscarSimulacoesDeCreditoPorCPFNaoExistente()","Test Description : Buscar simulações de crédito para CPF não cadastrado"
"failed","Fri Mar 10 09:17:47 GMT 2023","Fri Mar 10 09:17:47 GMT 2023","91","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComParcelaMaiorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComParcelaMaiorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com a parcela maior que o permitido"
"failed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","66","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioSeguroNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioSeguroNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar a opcão de SEGURO"
"passed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","37","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioParcelasNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioParcelasNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar a PARCELA"
"passed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","307","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoComListaVaziaDeveRetornarStatusCode204","buscarSimulacoesDeCreditoComListaVaziaDeveRetornarStatusCode204()","Test Description :Nenhuma simulação cadastrada"
"passed","Fri Mar 10 09:17:47 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","120","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioCpfNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioCpfNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar o CPF"
"failed","Fri Mar 10 09:17:45 GMT 2023","Fri Mar 10 09:17:46 GMT 2023","778","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","validarConsultaNaAPIRestricoesComClienteQuePOSSUIRestricao","Realizar uma consultar na API com CPF que POSSUI restrição.","Test Description :Realizar uma consultar na API com CPF que POSSUI restrição."
"passed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","91","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoSeguro","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoSeguro()","Test Description : Atualizar o campo SEGURO"
"failed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","66","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoValor","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoValor()","Test Description : Atualizar o campo VALOR"
"passed","Fri Mar 10 09:17:49 GMT 2023","Fri Mar 10 09:17:49 GMT 2023","62","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoNome","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoNome()","Test Description : Atualizar o campo NOME"
"failed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","187","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComCPFJaCadastradoNaoDeveCadastrar","criarSimulacaoDeCreditoComCPFJaCadastradoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com CPF já cadastrado"
"failed","Fri Mar 10 09:17:47 GMT 2023","Fri Mar 10 09:17:47 GMT 2023","69","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com valor menor que o permitido"
"passed","Fri Mar 10 09:17:48 GMT 2023","Fri Mar 10 09:17:48 GMT 2023","40","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioNomeNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioNomeNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar o NOME"
"passed","Fri Mar 10 09:17:43 GMT 2023","Fri Mar 10 09:17:45 GMT 2023","1810","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","validarConsultaNaAPIRestricoesComClienteQueNAOPossuiRestricao","Realizar uma consultar na API com CPF que não possui restrição.","Test Description :Realizar uma consultar na API com CPF que não possui restrição."
