"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 14 09:19:18 GMT 2023","Tue Mar 14 09:19:19 GMT 2023","148","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComCPFJaCadastradoNaoDeveCadastrar","criarSimulacaoDeCreditoComCPFJaCadastradoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com CPF já cadastrado"
"passed","Tue Mar 14 09:19:20 GMT 2023","Tue Mar 14 09:19:20 GMT 2023","35","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado","RealiazarUmaAtualizacaoSimulacaoCreditoParaClienteNaoCadastrado()","Test Description : Tentativa de atualiza cliente não cadastrado"
"passed","Tue Mar 14 09:19:18 GMT 2023","Tue Mar 14 09:19:18 GMT 2023","46","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComValorMaiorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComValorMaiorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com valor maior que o permitido"
"passed","Tue Mar 14 09:19:20 GMT 2023","Tue Mar 14 09:19:20 GMT 2023","106","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoNome","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoNome()","Test Description : Atualizar o campo NOME"
"passed","Tue Mar 14 09:19:19 GMT 2023","Tue Mar 14 09:19:19 GMT 2023","44","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioParcelasNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioParcelasNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar a PARCELA"
"failed","Tue Mar 14 09:19:19 GMT 2023","Tue Mar 14 09:19:19 GMT 2023","143","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","RealizarUmaRemocaoSimulacaoCreditoJaCadastrado","RealizarUmaRemocaoSimulacaoCreditoJaCadastrado()","Test Description : Realizar uma remoção com sucesso"
"passed","Tue Mar 14 09:19:20 GMT 2023","Tue Mar 14 09:19:20 GMT 2023","147","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoSeguro","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoSeguro()","Test Description : Atualizar o campo SEGURO"
"failed","Tue Mar 14 09:19:18 GMT 2023","Tue Mar 14 09:19:18 GMT 2023","54","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComParcelaMaiorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComParcelaMaiorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com a parcela maior que o permitido"
"failed","Tue Mar 14 09:19:16 GMT 2023","Tue Mar 14 09:19:17 GMT 2023","941","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","validarConsultaNaAPIRestricoesComClienteQuePOSSUIRestricao","Realizar uma consultar na API com CPF que POSSUI restrição.","Test Description :Realizar uma consultar na API com CPF que POSSUI restrição."
"passed","Tue Mar 14 09:19:18 GMT 2023","Tue Mar 14 09:19:18 GMT 2023","65","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioCpfNaoDeveCadastrar","criarSimulacaoDeCreditoSEMInformarAtributoObrigatorioCpfNaoDeveCadastrar()","Test Description : Criar simulações de crédito sem informar o CPF"
"failed","Tue Mar 14 09:19:19 GMT 2023","Tue Mar 14 09:19:19 GMT 2023","23","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.DeletarSimulacaoCreditoServiceTest","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado","RealizarUmaRemocaoSimulacaoCreditoNaoCadastrado()","Test Description : Realizar uma remoção de simulação não cadastrada"
"passed","Tue Mar 14 09:19:20 GMT 2023","Tue Mar 14 09:19:20 GMT 2023","152","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoEmail","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoEmail()","Test Description : Atualizar o campo EMAIL"
"passed","Tue Mar 14 09:19:14 GMT 2023","Tue Mar 14 09:19:15 GMT 2023","1899","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","","br.com.sicred.tests.restricaocredito.RestricaoCreditoServiceTest","validarConsultaNaAPIRestricoesComClienteQueNAOPossuiRestricao","Realizar uma consultar na API com CPF que não possui restrição.","Test Description :Realizar uma consultar na API com CPF que não possui restrição."
"passed","Tue Mar 14 09:19:20 GMT 2023","Tue Mar 14 09:19:21 GMT 2023","116","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.AtualizarSimulacaoCreditoServiceTest","RealizarUmaAtualizacaoSimulacaoCreditoJaCadastradoNoAtributoCPF","Test Description : Atualizar o campo CPF","Test Description : Atualizar o campo CPF"
"failed","Tue Mar 14 09:19:18 GMT 2023","Tue Mar 14 09:19:18 GMT 2023","45","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.CriarSimulacaoCreditoServiceTest","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar","criarSimulacaoDeCreditoComValorMenorQueOPermitidoNaoDeveCadastrar()","Test Description : Criar simulações de crédito com valor menor que o permitido"
"passed","Tue Mar 14 09:19:19 GMT 2023","Tue Mar 14 09:19:19 GMT 2023","64","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","","br.com.sicred.tests.simulacaocredito.BuscarSimulacaoCreditoServiceTest","buscarSimulacoesDeCreditoPorCPFNaoExistente","buscarSimulacoesDeCreditoPorCPFNaoExistente()","Test Description : Buscar simulações de crédito para CPF não cadastrado"
